Title,Location,Price,Area
Apartment Van Boshuizenstraat,            1082 AP Amsterdam (Buitenveldert-Oost)        ,"                €1,500 per month            ",43 m²
Apartment Bilderdijkkade,            1052 RV Amsterdam (Kinkerbuurt)        ,"                €2,350 per month            ",75 m²
Apartment Kerkstraat 417 B,            1017 HX Amsterdam (Grachtengordel-Zuid)        ,"                €2,250 per month            ",68 m²
Apartment Dusartstraat,            1072 HM Amsterdam (Nieuwe Pijp)        ,"                €3,750 per month            ",145 m²
Apartment Keizersgracht,            1016 DV Amsterdam (Grachtengordel-West)        ,"                €2,250 per month            ",80 m²
House Troelstralaan,            1067 MX Amsterdam (Geuzenveld)        ,"                €2,600 per month            ",110 m²
Apartment Olof Palmeplein,            1025 WS Amsterdam (Buikslotermeer)        ,"                €1,350 per month            ",60 m²
Apartment Prinsengracht 696 2,            1017 KZ Amsterdam (De Weteringschans)        ,"                €1,700 per month            ",55 m²
Apartment Maasstraat 147 2,            1079 BE Amsterdam (Scheldebuurt)        ,"                €2,300 per month            ",85 m²
Apartment Leliegracht,            1016 GT Amsterdam (Grachtengordel-West)        ,"                €1,650 per month            ",72 m²
Apartment Bloemgracht 53 B,            1016 KE Amsterdam (Jordaan)        ,"                €1,884 per month            ",60 m²
Apartment Overtoom 209 B,            1054 HT Amsterdam (Vondelbuurt)        ,"                €2,500 per month            ",128 m²
Apartment Johannes Verhulststraat 47 HS,            1071 MS Amsterdam (Museumkwartier)        ,"                €9,700 per month            ",250 m²
Apartment Esther de Boer-van Rijkstraat 56 2,            1065 GP Amsterdam (Slotervaart Zuid)        ,"                €2,500 per month            ",95 m²
Apartment Blasiusstraat,            1091 CV Amsterdam (Weesperzijde)        ,"                €3,500 per month            ",130 m²
Apartment Pieter Aertszstraat 69 C,            1073 SK Amsterdam (Nieuwe Pijp)        ,"                €1,750 per month            ",58 m²
Apartment Koningsstraat,            1011 EW Amsterdam (Nieuwmarkt/Lastage)        ,"                €3,500 per month            ",135 m²
Apartment Brouwersgracht 206 D,            1013 HD Amsterdam (Haarlemmerbuurt)        ,"                €2,250 per month            ",84 m²
Apartment Beemsterstraat 542 F2,            1024 BV Amsterdam (Waterlandpleinbuurt)        ,"                €1,295 per month            ",83 m²
Apartment Jan Haringstraat 1,            1056 XE Amsterdam (Landlust)        ,"                €1,950 per month            ",75 m²
Apartment Van Boshuizenstraat 23,            1083 AP Amsterdam (Buitenveldert-Oost)        ,"                €2,100 per month            ",78 m²
Apartment Middenweg 142 huis,            1097 BV Amsterdam (Frankendael)        ,"                €1,750 per month            ",59 m²
Apartment Schimmelstraat,            1053 TG Amsterdam (Kinkerbuurt)        ,"                €1,825 per month            ",42 m²
Apartment Stadionkade,            1077 VG Amsterdam (Apollobuurt)        ,"                €2,750 per month            ",120 m²
Apartment Valkenburgerstraat 136 E,            1011 NA Amsterdam (Nieuwmarkt/Lastage)        ,"                €3,150 per month            ",95 m²
Apartment Burgemeester Hogguerstraat 1117,            1064 EJ Amsterdam (Slotermeer-Zuidwest)        ,"                €1,850 per month            ",80 m²
Apartment Carolina MacGillavrylaan,            1098 XB Amsterdam (Middenmeer)        ,"                €1,544 per month            ",72 m²
Apartment Maria Austriastraat 837,            1087 GZ Amsterdam (IJburg West)        ,"                €2,000 per month            ",137 m²
Apartment Spuistraat,            1012 VN Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €1,900 per month            ",60 m²
Apartment Jan van Duivenvoordestraat,            1067 MT Amsterdam (Geuzenveld)        ,"                €2,100 per month            ",90 m²
